name                    	time	value	rate	unit	path
"D90"                               	0.000	-3.00000000	NA	"cm"	"//bean2"
"carbonAllocation2Roots"            	0.000	0.00000000	0.00594985	"g"	"//bean2"
"carbonAllocation2Shoot"            	0.000	0.00000000	0.00000000	"g"	"//bean2"
"carbonAvailableForGrowth"          	0.000	0.00000000	0.00594985	"g"	"//bean2"
"carbonReserves"                    	0.000	0.00000000	0.00000000	"g"	"//bean2"
"nutrientStressFactor"              	0.000	1.00000000	0.00000000	"100%"	"//bean2/nitrate"
"plantMinimalNutrientContent"       	0.000	0.00000000	NA	"umol"	"//bean2/nitrate"
"plantNutrientFixation"             	0.000	0.00000000	0.00000000	"umol"	"//bean2/nitrate"
"plantNutrientUptake"               	0.000	714.00000000	0.00000000	"umol"	"//bean2/nitrate"
"plantOptimalNutrientContent"       	0.000	0.00000000	NA	"umol"	"//bean2/nitrate"
"rootsBelowD90ForNutrient"          	0.000	0.00000000	NA	"cm"	"//bean2/nitrate"
"plantCarbonBalance"                	0.000	0.00000000	NA	"g"	"//bean2"
"plantCarbonIncome"                 	0.000	0.00000000	0.00594985	"g"	"//bean2"
"plantDryWeight"                    	0.000	0.00000000	NA	"g"	"//bean2"
"carbonAllocation2Leafs"            	0.000	0.00000000	0.00000000	"g"	"//bean2/plantPosition/shoot"
"carbonAllocation2Stems"            	0.000	0.00000000	0.00000000	"g"	"//bean2/plantPosition/shoot"
"leafArea"                          	0.000	0.00000000	0.00000000	"cm2"	"//bean2/plantPosition/shoot"
"leafAreaIndex"                     	0.000	0.00000000	NA	"cm2/cm2"	"//bean2/plantPosition/shoot"
"leafAreaReductionCoefficient"      	0.000	1.00000000	NA	"cm2/cm2"	"//bean2/plantPosition/shoot"
"leafDryWeight"                     	0.000	0.00000000	0.00000000	"g"	"//bean2/plantPosition/shoot"
"leafPotentialCarbonSinkForGrowth"  	0.000	0.00000000	0.00000000	"g"	"//bean2/plantPosition/shoot"
"leafRespiration"                   	0.000	0.00000000	0.00000000	"g"	"//bean2/plantPosition/shoot"
"lightInterception"                 	0.000	0.00000000	NA	"umol/cm2/day"	"//bean2/plantPosition/shoot"
"photosynthesis"                    	0.000	0.00000000	0.00000000	"g"	"//bean2/plantPosition/shoot"
"potentialLeafArea"                 	0.000	0.00000000	0.00000000	"cm2"	"//bean2/plantPosition/shoot"
"potentialTranspiration"            	0.000	0.00000000	0.00000000	"cm3"	"//bean2/plantPosition/shoot"
"relativeCarbonAllocation2Leafs"    	0.000	0.70000000	NA	"100%"	"//bean2/plantPosition/shoot"
"relativeCarbonAllocation2Stems"    	0.000	0.30000000	NA	"100%"	"//bean2/plantPosition/shoot"
"stemDryWeight"                     	0.000	0.00000000	0.00000000	"g"	"//bean2/plantPosition/shoot"
"stemPotentialCarbonSinkForGrowth"  	0.000	0.00000000	0.00000000	"g"	"//bean2/plantPosition/shoot"
"stemRespiration"                   	0.000	0.00000000	0.00000000	"g"	"//bean2/plantPosition/shoot"
"stressAdjustedPotentialLeafArea"   	0.000	0.00000000	0.00000000	"cm2"	"//bean2/plantPosition/shoot"
"plantPotentialCarbonSinkForGrowth" 	0.000	0.00000000	0.00594985	"g"	"//bean2"
"plantRespiration"                  	0.000	0.00000000	0.00000000	"g"	"//bean2"
"relativeCarbonAllocation2Roots"    	0.000	1.00000000	NA	"100%"	"//bean2"
"relativeCarbonAllocation2Shoot"    	0.000	0.00000000	NA	"100%"	"//bean2"
"reserves"                          	0.000	0.20000000	-0.01322188	"g"	"//bean2"
"rootCarbonCostOfBiologicalNitrogenFixation"	0.000	0.00000000	0.00000000	"g"	"//bean2"
"rootCarbonCostOfExudates"          	0.000	0.00000000	0.00000000	"g"	"//bean2"
"rootCarbonCostOfNutrientUptake"    	0.000	0.00000000	0.00000000	"g"	"//bean2"
"rootCarbonCosts"                   	0.000	0.00000000	0.00000000	"g"	"//bean2"
"rootDryWeight"                     	0.000	0.00000000	NA	"g"	"//bean2"
"rootGrowthScalingFactor"           	0.000	1.00000000	0.00000000	"100%"	"//bean2"
"rootGrowthScalingFactor;majorAxis" 	0.000	1.00000000	0.00000000	"100%"	"//bean2"
"rootLength"                        	0.000	0.00000000	NA	"cm"	"//bean2"
"rootLongitudinalGrowth"            	0.000	0.00000000	3.35700000	"cm"	"//bean2"
"rootPotentialCarbonSinkForGrowth"  	0.000	0.00000000	0.00594985	"g"	"//bean2"
"rootPotentialCarbonSinkForGrowth;majorAxis"	0.000	0.00000000	0.00594985	"g"	"//bean2"
"rootRespiration"                   	0.000	0.00000000	0.00000000	"g"	"//bean2"
"rootSecondaryPotentialCarbonSinkForGrowth"	0.000	0.00000000	0.00000000	"g"	"//bean2"
"rootSurfaceArea"                   	0.000	0.00000000	NA	"cm2"	"//bean2"
"rootVolume"                        	0.000	0.00000000	NA	"cm3"	"//bean2"
"rootWaterUptake"                   	0.000	0.00000000	0.00000000	"cm3"	"//bean2"
"secondaryRootGrowthScalingFactor"  	0.000	1.00000000	0.00000000	"100%"	"//bean2"
"shootDryWeight"                    	0.000	0.00000000	NA	"g"	"//bean2"
"shootPotentialCarbonSinkForGrowth" 	0.000	0.00000000	0.00000000	"g"	"//bean2"
"shootRespiration"                  	0.000	0.00000000	0.00000000	"g"	"//bean2"
"stressFactor"                      	0.000	1.00000000	NA	"noUnit"	"//bean2"
"RootLengthProfile_00-10"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_10-20"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_20-30"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_30-40"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_40-50"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_50-60"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_60-70"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_70-80"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_80-90"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_90+"             	0.000	0.00000000	NA	"cm"	"//soil"
"D90"                               	0.000	-135.00000000	NA	"cm"	"//soil/nitrate"
"rootLengthDensityInMiddleCore_04"  	0.000	0.00000000	NA	"cm/cm3"	"//soil"
"rootLengthDensityInMiddleCore_12"  	0.000	0.00000000	NA	"cm/cm3"	"//soil"
"rootLengthDensityInMiddleCore_20"  	0.000	0.00000000	NA	"cm/cm3"	"//soil"
"rootLengthDensityInMiddleCore_28"  	0.000	0.00000000	NA	"cm/cm3"	"//soil"
"rootLengthDensityInMiddleCore_36"  	0.000	0.00000000	NA	"cm/cm3"	"//soil"
"D90"                               	1.000	-3.70074159	NA	"cm"	"//bean2"
"carbonAllocation2Roots"            	1.000	0.01127293	0.01660454	"g"	"//bean2"
