name                    	time	value	rate	unit	path
"RootLengthProfile_00-10"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_10-20"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_20-30"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_30-40"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_40-50"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_50-60"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_60-70"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_70-80"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_80-90"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_90+"             	0.000	0.00000000	NA	"cm"	"//soil"
"D90"                               	0.000	-135.00000000	NA	"cm"	"//soil/nitrate"
"rootLengthDensityInMiddleCore_04"  	0.000	0.00000000	NA	"cm/cm3"	"//soil"
"rootLengthDensityInMiddleCore_12"  	0.000	0.00000000	NA	"cm/cm3"	"//soil"
"rootLengthDensityInMiddleCore_20"  	0.000	0.00000000	NA	"cm/cm3"	"//soil"
"rootLengthDensityInMiddleCore_28"  	0.000	0.00000000	NA	"cm/cm3"	"//soil"
"rootLengthDensityInMiddleCore_36"  	0.000	0.00000000	NA	"cm/cm3"	"//soil"
"D90"                               	0.000	-3.00000000	NA	"cm"	"//squash1"
"carbonAllocation2Roots"            	0.000	0.00000000	0.00092096	"g"	"//squash1"
"carbonAllocation2Shoot"            	0.000	0.00000000	0.00000000	"g"	"//squash1"
"carbonAvailableForGrowth"          	0.000	0.00000000	0.00092096	"g"	"//squash1"
"carbonReserves"                    	0.000	0.00000000	0.00000000	"g"	"//squash1"
"nutrientStressFactor"              	0.000	1.00000000	0.00000000	"100%"	"//squash1/nitrate"
"plantMinimalNutrientContent"       	0.000	0.00000000	NA	"umol"	"//squash1/nitrate"
